Variable Name,,,,Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Average | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency,Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Fiscal income  | equal-split adults | Share | Adults | share of total (ratio),Net personal wealth | equal-split adults | Share | Adults | share of total (ratio),Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio),Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Threshold | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency
,CN,2015,p99p100,414665.800104,8296247.06964,799991.169201,2.14659309387,2.8015434742,2.3294878006,0.114170260727,0.296289712191,0.139237701893,193173.921875,2961313,343419.34375
,CN,2015,p99.9p100,1692718.84596,45876310.0213,3619320.03591,2.74059343338,5.77818918228,3.39970231056,0.0466057620943,0.163841292262,0.0629939213395,617646.8125,7939565,1064599.125
,CN,2015,p99.99p100,7110064.20656,307367221.158,18390875.5355,2.25650191307,4.56493425369,2.98082208633,0.0195761956275,0.109772212803,0.0320091433823,3150923.25,67332232,6169732.5
,CN,2015,p99.999p100,21239696.2816,1613338841.53,78354597.9345,1.48642933369,3.48586797714,2.61006498337,0.00584794208407,0.0576183050871,0.0136375436559,14289072,462822688,30020170
,CN,2015,p0p10,3536.43444152,-6147.3903902,3368.38882408,,,,0.00973689276725,-0.00219546072185,0.00586264859885,11.8551959991,-95506.625,-3817.9230957
,CN,2015,p10p20,7455.98200554,21424.4221646,10324.9543653,,,,0.0205286126584,0.00765145430341,0.0179704856128,5769.01904297,13365.5332031,6951.16796875
,CN,2015,p20p30,11099.8521665,36866.1033426,17038.806356,,,,0.0305613093,0.0131662507,0.0296558812,9142.5390625,26107.3671875,13681.5888672
,CN,2015,p30p40,15357.4183824,54253.7093156,23814.8423544,,,,0.0422836989,0.0193760078,0.0414495058,13369.2167969,44989.765625,20414.0703125
,CN,2015,p40p50,20422.0721793,73965.3506093,30680.6805004,,,,0.0562282503,0.0264157653,0.0533994325,17739.3808594,63513.8632812,27226.4042969
,CN,2015,p50p60,27702.5997931,98541.5156154,38642.3688576,,,,0.076273784,0.0351928249,0.0672566742,23216.4257812,84415.171875,34232.609375
,CN,2015,p60p70,36688.6654804,135422.399623,50056.959498,,,,0.1010151878,0.0483643524,0.0871236622,32539.2363281,114747.179688,43631.1132812
,CN,2015,p70p80,45953.9758571,191789.72847,67181.9378673,,,,0.1265254468,0.068495214,0.1169295236,40754.5039062,157685.53125,57397.3554688
,CN,2015,p80p90,59781.0373271,306458.568349,95422.1314423,,,,0.1645956039,0.1094477028,0.1660813093,51730.9257812,234591.859375,78637.8125
,CN,2015,p90p100,135201.470033,1887471.33869,238019.6256,1.87960195541,4.51934957504,2.03269910812,0.3722512722,0.6740859151,0.4142709076,71930.90625,417642.25,117095.359375
,CN,2015,p0p1,661.698818829,-75843.9276762,-453.522684667,,,,0.000182186049642,-0.00270866742358,-7.8935190686E-05,11.8551959991,-95506.625,-3817.9230957
,CN,2015,p1p2,1395.05615047,-33486.0134015,807.394116302,,,,0.0003841019,-0.0011959096,0.0001405262,1214.11791992,-55283.2734375,326.820709228
,CN,2015,p2p3,2228.13789593,-1566.97322371,1641.14965693,,,,0.0006134749,-5.59624E-05,0.0002856405,1679.78845215,-12134.1201172,1244.23498535
,CN,2015,p3p4,3132.91030613,1940.10735918,2400.69667308,,,,0.0008625867,6.92884E-05,0.000417839,2792.984375,1110.94494629,2027.49499512
,CN,2015,p4p5,3649.14744459,3598.43208937,3129.96713101,,,,0.0010047227,0.0001285133,0.0005447678,3402.51879883,2769.26977539,2769.90014648
,CN,2015,p5p6,4105.18016334,5256.75681955,3842.13591914,,,,0.0011302824,0.0001877382,0.0006687201,3892.68139648,4427.59472656,3487.97265625
,CN,2015,p6p7,4454.15934587,6917.34286137,4543.5028736,,,,0.0012263672,0.0002470439,0.0007907923,4294.68652344,6085.91943359,4194.42480469
,CN,2015,p7p8,4855.12904112,8706.51622182,5236.98714658,,,,0.0013367665,0.0003109419,0.0009114926,4636.44921875,7774.71289062,4890.92480469
,CN,2015,p8p9,5264.68973084,10570.1233522,5925.53919286,,,,0.0014495312,0.0003774982,0.0010313345,5068.12158203,9638.31933594,5582.52490234
,CN,2015,p9p10,5618.23472943,12433.7304826,6610.03839795,,,,0.00154687301256,0.000444054545369,0.0011504709255,5454.12792969,11501.9267578,6269.41699219
,CN,2015,p10p11,5903.72392946,14297.337613,7290.55513209,,,,0.00162547687069,0.00051061087288,0.00126891420223,5769.01904297,13365.5332031,6951.16796875
,CN,2015,p11p12,6256.63511048,18035.5577812,7968.6322024,,,,0.0017226442,0.0006441165,0.0013869329,6056.73925781,15229.140625,7629.76220703
,CN,2015,p12p13,6645.96993387,21463.3150749,8645.01262167,,,,0.0018298401,0.0007665345,0.0015046563,6461.37890625,20481.3964844,8306.96191406
,CN,2015,p13p14,6985.38604183,22166.9710038,9319.68571303,,,,0.0019232918,0.0007916646,0.0016220824,6825.31787109,22017.3789062,8983.04492188
,CN,2015,p14p15,7266.89956528,22317.7419377,9992.76698077,,,,0.002000801,0.0007970492,0.0017392316,7134.38427734,22264.2148438,9655.72363281
,CN,2015,p15p16,7556.04025341,22351.3895949,10665.1309572,,,,0.0020804105,0.0007982509,0.0018562559,7393.10205078,22338.9921875,10329.3564453
,CN,2015,p16p17,7973.64499089,22411.6265306,11336.3117429,,,,0.0021953899,0.0008004021,0.0019730744,7760.72314453,22365.4023438,11001.3974609
,CN,2015,p17p18,8352.38108373,22787.8501627,12007.4022604,,,,0.0022996676,0.0008138385,0.0020898769,8172.37011719,22502.7421875,11671.8203125
,CN,2015,p18p19,8666.87204846,23601.1050897,12677.1290511,,,,0.0023862566,0.0008428828,0.0022064422,8521.34375,23237.609375,12341.734375
,CN,2015,p19p20,8952.26855389,24811.3336523,13346.9199029,,,,0.0024648351,0.0008861046,0.0023230186,8805.8125,23937.5605469,13011.0380859
,CN,2015,p20p21,9376.93797934,28087.5202178,14016.4283031,,,,0.0025817596,0.0010031094,0.0024395459,9142.5390625,26107.3671875,13681.5888672
,CN,2015,p21p22,9792.36706276,31745.9754628,14685.9046727,,,,0.00269614,0.0011337664,0.0025560677,9597.39648438,30159.0449219,14350.5878906
,CN,2015,p22p23,10132.4698873,34097.4988598,15355.1878881,,,,0.002789781,0.0012177479,0.0026725559,9974.38574219,33092.6210938,15019.4765625
,CN,2015,p23p24,10424.9752441,35628.8409558,16024.5332234,,,,0.0028703166,0.0012724379,0.0027890548,10281.9746094,34966.8476562,15690.2177734
,CN,2015,p24p25,10760.8694423,36714.9616303,16695.9974313,,,,0.0029627986,0.0013112272,0.0029059225,10580.4589844,36217.5,16359.6992188
,CN,2015,p25p26,11166.4661029,37675.4253004,17369.8862583,,,,0.0030744718,0.0013455289,0.0030232121,10951.2265625,37192.5898438,17033.0878906
,CN,2015,p26p27,11643.6569725,38762.6913114,18044.6680596,,,,0.0032058572,0.0013843592,0.0031406572,11393.7050781,38180.7890625,17706.2246094
,CN,2015,p27p28,12099.1825401,40144.8601209,18721.0882744,,,,0.0033312773,0.0014337216,0.0032583876,11891.0683594,39395.4726562,18385.2050781
,CN,2015,p28p29,12533.3330224,41539.4568021,19398.4266997,,,,0.0034508123,0.0014835278,0.0033762776,12300.9013672,40956.1289062,19059.9960938
,CN,2015,p29p30,13068.2614704,44263.808588,20075.9417787,,,,0.0035980947,0.0015808245,0.0034941987,12783.7451172,42866.5976562,19737.4609375
,CN,2015,p30p31,13595.8762653,46030.2630339,20753.50733,,,,0.0037433633,0.0016439111,0.0036121283,13369.2167969,44989.765625,20414.0703125
,CN,2015,p31p32,13962.8847917,47919.7965064,21432.422049,,,,0.003844412,0.0017113934,0.0037302927,13793.9501953,47023.78125,21092.7949219
,CN,2015,p32p33,14301.3123189,49602.6957418,22111.3891817,,,,0.0039375913,0.0017714959,0.0038484663,14136.8066406,48781.03125,21770.5957031
,CN,2015,p33p34,14650.3681808,51245.1665395,22790.8008602,,,,0.0040336973,0.0018301547,0.003966717,14464.3554688,50418.3320312,22452.0292969
,CN,2015,p34p35,15030.0996487,52975.8593088,23471.918896,,,,0.004138249,0.0018919641,0.0040852651,14845.0419922,52087.6171875,23131.7382812
,CN,2015,p35p36,15425.9522133,54868.4133636,24152.4234974,,,,0.0042472393,0.0019595542,0.0042037065,15213.5136719,53892.2265625,23811.8886719
,CN,2015,p36p37,15893.086446,56927.1149803,24834.1044952,,,,0.0043758559,0.0020330781,0.0043223524,15648.0976562,55873.7226562,24492.8847656
,CN,2015,p37p38,16389.4820853,59069.8998271,25516.34069,,,,0.0045125289,0.0021096049,0.0044410951,16146.3193359,57996.2890625,25172.4414062
,CN,2015,p38p39,16880.7266221,61108.2688089,26200.8559104,,,,0.0046477835,0.0021824024,0.004560234,16630.1425781,60128.265625,25856.8613281
,CN,2015,p39p40,17444.3952516,62789.6189281,26884.6683989,,,,0.0048029791,0.0022424497,0.004679251,17151.7988281,62020.75,26543.2578125
,CN,2015,p40p41,18017.6847078,64215.8424271,27569.8805274,,,,0.0049608233,0.0022933856,0.0047985115,17739.3808594,63513.8632812,27226.4042969
,CN,2015,p41p42,18604.615316,65745.9110642,28255.5663206,,,,0.0051224232,0.00234803,0.0049178544,18298.5429688,64936.9882812,27911.2050781
,CN,2015,p42p43,19244.4779424,67647.3948613,28942.7624049,,,,0.0052985973,0.002415939,0.0050374605,18935.7207031,66619.1796875,28597.8984375
,CN,2015,p43p44,19769.9039798,70040.0688404,29631.5813728,,,,0.0054432633,0.0025013902,0.0051573487,19544.4140625,68760.6171875,29288.7988281
,CN,2015,p44p45,20181.6485739,72853.0153174,30320.8875941,,,,0.005556629,0.002601851,0.0052773217,19985.6933594,71393.59375,29975.9707031
,CN,2015,p45p46,20611.2623588,75772.5130327,31011.3410931,,,,0.0056749149,0.002706117,0.0053974944,20386.0957031,74335.265625,30666.3535156
,CN,2015,p46p47,21089.9606077,78236.5783602,31705.170423,,,,0.0058067152,0.0027941179,0.0055182548,20841.9375,77130.640625,31358.4863281
,CN,2015,p47p48,21623.4583557,80063.1920919,32402.1892238,,,,0.0059536039,0.0028593531,0.0056395703,21347.7109375,79225.296875,32053.6738281
,CN,2015,p48p49,22213.6599673,81662.2371645,33115.1883809,,,,0.0061161043,0.0029164609,0.0057636672,21908.4570312,80864.8046875,32755.4980469
,CN,2015,p49p50,22864.0480421,83416.7141083,33852.2454286,,,,0.0062951762,0.0029791198,0.0058919513,22529.3066406,82487.8671875,33476.625
,CN,2015,p50p51,23601.5224581,85570.1020535,34623.1461996,,,,0.0064982255,0.0030560251,0.0060261255,23216.4257812,84415.171875,34232.609375
,CN,2015,p51p52,24415.4471158,88176.1269887,35428.0421112,,,,0.0067223241,0.0031490959,0.0061662169,23996.8984375,86804.6484375,35020.3398438
,CN,2015,p52p53,25281.0575102,91036.0206153,36264.9414429,,,,0.0069606532,0.0032512334,0.0063118786,24844.75,89595.3828125,35840.2109375
,CN,2015,p53p54,26189.2608342,93679.2864585,37135.0749459,,,,0.0072107096,0.0033456341,0.0064633247,25725.9316406,92437.828125,36693.9804688
,CN,2015,p54p55,27143.4542723,96087.5836041,38037.2196338,,,,0.0074734283,0.0034316434,0.0066203419,26658.2050781,94867.1953125,37581.875
,CN,2015,p55p56,28123.1693021,98899.3963922,38972.2141259,,,,0.0077431742,0.0035320637,0.006783077,27632.0605469,97382.3203125,38498.7226562
,CN,2015,p56p57,29110.4221992,102439.286013,39943.3197195,,,,0.0080149956,0.0036584861,0.0069520967,28618.7578125,100547.695312,39450.5585938
,CN,2015,p57p58,30072.6524054,105933.346643,40949.1309506,,,,0.0082799271,0.0037832721,0.0071271574,29595.7519531,104419.921875,40441.8828125
,CN,2015,p58p59,31049.4322678,110487.85688,41993.7283233,,,,0.0085488642,0.0039459304,0.0073089683,30558.5878906,108358.632812,41463.296875
,CN,2015,p59p60,32039.5756837,113106.15827,43076.8633579,,,,0.0088214818,0.0040394398,0.0074974871,31542.4863281,111542.710938,42528.3125
,CN,2015,p60p61,33029.3580274,116611.765445,44201.8827663,,,,0.0090939989,0.004164638,0.0076932958,32539.2363281,114747.179688,43631.1132812
,CN,2015,p61p62,33967.8312365,120713.219383,45370.3977848,,,,0.0093523897,0.0043111159,0.0078966748,33510.5703125,118593.101562,44778.296875
,CN,2015,p62p63,34823.1646623,124641.715859,46584.0274144,,,,0.0095878895,0.0044514174,0.0081079053,34410.984375,122814.15625,45966.78125
,CN,2015,p63p64,35612.8334221,128037.673564,47844.3091239,,,,0.0098053096,0.0045726993,0.0083272569,35221.6875,126335.046875,47210.4375
,CN,2015,p64p65,36379.5294492,131994.356966,49156.3678087,,,,0.0100164041,0.004714007,0.008555619,36000.8945312,129854.773438,48494.171875
,CN,2015,p65p66,37106.5580079,136703.980709,50521.1702107,,,,0.0102165779,0.0048822053,0.0087931613,36754.9921875,134290.609375,49831.9609375
,CN,2015,p66p67,37762.6184103,140923.757614,51940.5527506,,,,0.0103972116,0.0050329091,0.0090402039,37442.3515625,139002.96875,51226.109375
,CN,2015,p67p68,38527.6410814,145697.364902,53419.8732738,,,,0.0106078451,0.0052033924,0.0092976782,38111.5507812,142938.984375,52669.5390625
,CN,2015,p68p69,39387.2685484,152309.365417,54961.7602307,,,,0.0108445277,0.0054395315,0.0095660426,38950.5039062,148893.078125,54183.1367188
,CN,2015,p69p70,40289.840311,156590.796369,56569.2458511,,,,0.0110930335,0.005592437,0.009845823,39828.9414062,155204.21875,55752.1992188
,CN,2015,p70p71,41223.3749844,159206.977916,58243.2580517,,,,0.0113500636,0.0056858705,0.0101371836,40754.5039062,157685.53125,57397.3554688
,CN,2015,p71p72,42171.3680753,164501.398835,59993.7981438,,,,0.0116110761,0.0058749542,0.0104418639,41694.3671875,161281.5625,59104.9570312
,CN,2015,p72p73,43140.7032504,171115.216358,61823.4518703,,,,0.0118779633,0.0061111581,0.0107603129,42652.125,168043.109375,60894.2421875
,CN,2015,p73p74,44146.9881461,178101.241071,63736.1172578,,,,0.0121550243,0.0063606547,0.0110932104,43634.3828125,174004.421875,62768.4726562
,CN,2015,p74p75,45215.5871132,186590.832498,65736.3911824,,,,0.0124492431,0.0066638496,0.0114413565,44672.9296875,182842.5625,64718.1484375
,CN,2015,p75p76,46331.8747866,194547.527965,67832.0541673,,,,0.0127565917,0.0069480124,0.0118061043,45766.9492188,189738.4375,66765.1015625
,CN,2015,p76p77,47494.1389855,202189.337422,70031.4031078,,,,0.0130765988,0.00722093,0.0121888993,46904.5117188,199896.15625,68922.5234375
,CN,2015,p77p78,48703.4085714,209971.289479,72340.370459,,,,0.0134095475,0.007498852,0.0125907725,48090.8203125,204214.015625,71166.671875
,CN,2015,p78p79,49957.0007391,220148.726443,74764.5780759,,,,0.0137547003,0.0078623258,0.0130127035,49325.7851562,216457.5625,73527.21875
,CN,2015,p79p80,51155.2983894,231524.752244,77317.9641215,,,,0.0140846279,0.0082686059,0.0134571185,50579.2226562,225353.28125,76022.3125
,CN,2015,p80p81,52315.9397047,237488.888307,80009.3030383,,,,0.0144041888,0.0084816078,0.0139255431,51730.9257812,234591.859375,78637.8125
,CN,2015,p81p82,53537.8390522,249083.949039,82855.6001616,,,,0.0147406152,0.0088957101,0.0144209387,52912.4804688,242777.375,81405.7890625
,CN,2015,p82p83,54887.2201774,260074.039143,85871.360499,,,,0.0151121411,0.0092882067,0.0149458284,54187.2304688,254202.078125,84334.9453125
,CN,2015,p83p84,56383.2043763,273599.601453,89073.0303062,,,,0.0155240316,0.0097712548,0.0155030759,55609.3789062,266267.125,87440.5234375
,CN,2015,p84p85,58021.2918354,290754.583756,92487.9423597,,,,0.0159750469,0.0103839226,0.0160974376,57180.6054688,280512.09375,90737.84375
,CN,2015,p85p86,59858.8852675,310105.102388,96144.9436097,,,,0.0164809935,0.0110750012,0.0167339351,58899.2070312,301625.78125,94272.171875
,CN,2015,p86p87,61898.3568783,323335.470712,100085.072046,,,,0.0170425232,0.0115475068,0.0174197108,60841.6054688,313063,98072.0234375
,CN,2015,p87p88,64146.7029267,346429.39944,104362.511791,,,,0.0176615622,0.0123722767,0.0181641951,62985.9648438,333356.75,102160.539062
,CN,2015,p88p89,66742.9284404,375373.474129,109056.861793,,,,0.0183763821,0.0134059768,0.0189812426,65352.28125,359202.59375,106634.21875
,CN,2015,p89p90,70018.0007294,398341.268305,114274.665524,,,,0.0192781109,0.014226242,0.0198893975,68284.078125,389951.90625,111566.953125
,CN,2015,p90p91,74052.1942945,455614.678692,120182.148195,,,,0.0203888491,0.0162716862,0.0209175888,71930.90625,417642.25,117095.359375
,CN,2015,p91p92,78535.196708,557287.730695,127026.795674,,,,0.021623157,0.0199028086,0.0221088938,76256.140625,503364.8125,123419.0625
,CN,2015,p92p93,83435.1171424,677926.530382,135151.494536,,,,0.0229722559,0.024211267,0.0235229898,80834.1015625,614220.0625,130838.515625
,CN,2015,p93p94,89130.9726863,821723.397641,145126.839784,,,,0.0245405007,0.0293467846,0.0252591893,86104.09375,745455.3125,139789.546875
,CN,2015,p94p95,95319.5403507,996010.287638,157689.216793,,,,0.0262444038,0.0355712138,0.027445659,92162.859375,903006.5625,150864.71875
,CN,2015,p95p96,103624.868487,1212427.29807,174189.252971,,,,0.0285311155,0.0433002673,0.0303174742,98929.0546875,1095902.875,165159.203125
,CN,2015,p96p97,115541.275703,1491518.55127,197201.214429,,,,0.0318120681,0.0532676503,0.0343226828,108870.484375,1339085.5,184299.46875
