"COUNTRY","Country","VAR","Variable","POPULATION","Population","TIME","Time","Value","Flag Codes","Flags"
"FRA","France","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",2.145896,,
"FRA","France","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",115687,,
"FRA","France","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",113300,,
"FRA","France","SB60","Share of bottom 60% of wealth","TP","Total Population","2009","2009",11.642276,,
"FRA","France","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",12.110005,,
"FRA","France","ST1","Share of top 1% of wealth","TP","Total Population","2009","2009",17.934885,,
"FRA","France","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",18.645706,,
"FRA","France","ST10","Share of top 10% of wealth","TP","Total Population","2009","2009",49.971592,,
"FRA","France","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",50.586899,,
"FRA","France","ST5","Share of top 5% of wealth","TP","Total Population","2009","2009",36.537834,,
"FRA","France","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",37.260921,,
"GBR","United Kingdom","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2009","2009",309700,,
"GBR","United Kingdom","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2011","2011",340600,,
"GBR","United Kingdom","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2013","2013",392400,,
"GBR","United Kingdom","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2015","2015",435500,,
"GBR","United Kingdom","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",164000,,
"GBR","United Kingdom","T1C7","Median net wealth per household (current prices)","TP","Total Population","2011","2011",170500,,
"GBR","United Kingdom","T1C7","Median net wealth per household (current prices)","TP","Total Population","2013","2013",168900,,
"GBR","United Kingdom","T1C7","Median net wealth per household (current prices)","TP","Total Population","2015","2015",183000,,
"GRC","Greece","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2009","2009",147757,,
"GRC","Greece","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",104199,,
"GRC","Greece","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2009","2009",55972,,
"GRC","Greece","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",41414.074,,
"GRC","Greece","M2MR","Mean to median net wealth ratio","TP","Total Population","2009","2009",1.449536,,
"GRC","Greece","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.6016324,,
"GRC","Greece","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",101934,,
"GRC","Greece","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",65058,,
"GRC","Greece","SB60","Share of bottom 60% of wealth","TP","Total Population","2009","2009",20.207804,,
"GRC","Greece","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",17.925282,,
"GRC","Greece","ST1","Share of top 1% of wealth","TP","Total Population","2009","2009",8.2319765,,
"GRC","Greece","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",9.1551847,,
"GRC","Greece","ST10","Share of top 10% of wealth","TP","Total Population","2009","2009",38.784035,,
"GRC","Greece","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",42.423824,,
"GRC","Greece","ST5","Share of top 5% of wealth","TP","Total Population","2009","2009",25.447557,,
"GRC","Greece","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",28.775896,,
"HUN","Hungary","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",15553559,,
"HUN","Hungary","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",6620761,,
"HUN","Hungary","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.9397281,,
"HUN","Hungary","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",8018422,,
"HUN","Hungary","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",15.445245,,
"HUN","Hungary","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",17.226322,,
"HUN","Hungary","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",48.477074,,
"HUN","Hungary","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",35.642178,,
"IRL","Ireland","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2013","2013",216349,,
"IRL","Ireland","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2013","2013",79596.008,,
"IRL","Ireland","M2MR","Mean to median net wealth ratio","TP","Total Population","2013","2013",2.1505864,,
"IRL","Ireland","T1C7","Median net wealth per household (current prices)","TP","Total Population","2013","2013",100600,,
"IRL","Ireland","SB60","Share of bottom 60% of wealth","TP","Total Population","2013","2013",7.1840534,,
"IRL","Ireland","ST1","Share of top 1% of wealth","TP","Total Population","2013","2013",14.179169,,
"IRL","Ireland","ST10","Share of top 10% of wealth","TP","Total Population","2013","2013",53.7924,,
"IRL","Ireland","ST5","Share of top 5% of wealth","TP","Total Population","2013","2013",37.657055,,
"ITA","Italy","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2011","2011",274657,,
"ITA","Italy","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",226389,,
"ITA","Italy","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2011","2011",108469.18,,
"ITA","Italy","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",91974.867,,
"ITA","Italy","M2MR","Mean to median net wealth ratio","TP","Total Population","2011","2011",1.5840691,,
"ITA","Italy","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.5485096,,
"ITA","Italy","T1C7","Median net wealth per household (current prices)","TP","Total Population","2011","2011",173387,,
"ITA","Italy","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",146198,,
"ITA","Italy","SB60","Share of bottom 60% of wealth","TP","Total Population","2011","2011",17.461637,,
"ITA","Italy","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",17.315496,,
"ITA","Italy","ST1","Share of top 1% of wealth","TP","Total Population","2011","2011",14.239802,,
"ITA","Italy","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",11.686905,,
"ITA","Italy","ST10","Share of top 10% of wealth","TP","Total Population","2011","2011",44.847591,,
"ITA","Italy","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",42.784328,,
"ITA","Italy","ST5","Share of top 5% of wealth","TP","Total Population","2011","2011",32.099377,,
"ITA","Italy","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",29.652973,,
"KOR","Korea","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2013","2013",267384896,,
"KOR","Korea","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2015","2015",284289984,,
"KOR","Korea","M2MR","Mean to median net wealth ratio","TP","Total Population","2013","2013",1.8450518,,
"KOR","Korea","M2MR","Mean to median net wealth ratio","TP","Total Population","2015","2015",1.724642,,
"KOR","Korea","T1C7","Median net wealth per household (current prices)","TP","Total Population","2013","2013",144920000,,
"KOR","Korea","T1C7","Median net wealth per household (current prices)","TP","Total Population","2015","2015",164840000,,
"KOR","Korea","SB60","Share of bottom 60% of wealth","TP","Total Population","2013","2013",16.364561,,
"KOR","Korea","SB60","Share of bottom 60% of wealth","TP","Total Population","2015","2015",17.694309,,
"LUX","Luxembourg","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2011","2011",710092,,
"LUX","Luxembourg","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",768404,,
"LUX","Luxembourg","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2011","2011",286174.66,,
"LUX","Luxembourg","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",318951.28,,
"LUX","Luxembourg","M2MR","Mean to median net wealth ratio","TP","Total Population","2011","2011",1.7848638,,
"LUX","Luxembourg","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.7563119,,
"LUX","Luxembourg","T1C7","Median net wealth per household (current prices)","TP","Total Population","2011","2011",397841,,
"LUX","Luxembourg","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",437510,,
"LUX","Luxembourg","SB60","Share of bottom 60% of wealth","TP","Total Population","2011","2011",14.918184,,
"LUX","Luxembourg","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",15.277357,,
"LUX","Luxembourg","ST1","Share of top 1% of wealth","TP","Total Population","2011","2011",20.657711,,
"LUX","Luxembourg","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",18.80517,,
"LUX","Luxembourg","ST10","Share of top 10% of wealth","TP","Total Population","2011","2011",51.288078,,
"LUX","Luxembourg","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",48.667435,,
"LUX","Luxembourg","ST5","Share of top 5% of wealth","TP","Total Population","2011","2011",39.870289,,
"LUX","Luxembourg","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",36.296368,,
"LVA","Latvia","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",40044,,
"LVA","Latvia","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",16803.963,,
"LVA","Latvia","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",2.8239775,,
"LVA","Latvia","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",14180,,
"LVA","Latvia","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",7.1141925,,
"LVA","Latvia","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",21.386295,,
"LVA","Latvia","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",63.376293,,
"LVA","Latvia","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",49.108349,,
"NLD","Netherlands","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2010","2010",154042,"B","Break"
"NLD","Netherlands","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2015","2015",140500,"B","Break"
"NLD","Netherlands","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2010","2010",69519.453,"B","Break"
"NLD","Netherlands","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2015","2015",64296.973,"B","Break"
"NLD","Netherlands","M2MR","Mean to median net wealth ratio","TP","Total Population","2010","2010",1.9559647,"B","Break"
"NLD","Netherlands","M2MR","Mean to median net wealth ratio","TP","Total Population","2015","2015",8.1213875,"B","Break"
"NLD","Netherlands","T1C7","Median net wealth per household (current prices)","TP","Total Population","2010","2010",78755,"B","Break"
"NLD","Netherlands","T1C7","Median net wealth per household (current prices)","TP","Total Population","2015","2015",17300,"B","Break"
"NLD","Netherlands","SB60","Share of bottom 60% of wealth","TP","Total Population","2010","2010",8.3290138,"B","Break"
"NLD","Netherlands","SB60","Share of bottom 60% of wealth","TP","Total Population","2015","2015",-3.9857128,"B","Break"
"NLD","Netherlands","ST1","Share of top 1% of wealth","TP","Total Population","2010","2010",9.1626892,"B","Break"
"NLD","Netherlands","ST1","Share of top 1% of wealth","TP","Total Population","2015","2015",27.828711,"B","Break"
"NLD","Netherlands","ST10","Share of top 10% of wealth","TP","Total Population","2010","2010",43.225662,"B","Break"
"NLD","Netherlands","ST10","Share of top 10% of wealth","TP","Total Population","2015","2015",68.347847,"B","Break"
"NLD","Netherlands","ST5","Share of top 5% of wealth","TP","Total Population","2010","2010",27.834057,"B","Break"
"NLD","Netherlands","ST5","Share of top 5% of wealth","TP","Total Population","2015","2015",52.458202,"B","Break"
"NOR","Norway","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2012","2012",1883600,,
"NOR","Norway","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",2272944,,
"NOR","Norway","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2012","2012",890552.69,,
"NOR","Norway","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",1059003.8,,
"NOR","Norway","M2MR","Mean to median net wealth ratio","TP","Total Population","2012","2012",1.8864297,,
"NOR","Norway","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.9536123,,
"NOR","Norway","T1C7","Median net wealth per household (current prices)","TP","Total Population","2012","2012",998500,,
"NOR","Norway","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",1163457,,
"NOR","Norway","SB60","Share of bottom 60% of wealth","TP","Total Population","2012","2012",7.0747337,,
"NOR","Norway","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",7.3088636,,
"NOR","Norway","ST1","Share of top 1% of wealth","TP","Total Population","2012","2012",18.51766,,
"NOR","Norway","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",20.128822,,
"NOR","Norway","ST10","Share of top 10% of wealth","TP","Total Population","2012","2012",50.093372,,
"NOR","Norway","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",51.450287,,
"NOR","Norway","ST5","Share of top 5% of wealth","TP","Total Population","2012","2012",36.195271,,
"NOR","Norway","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",37.845356,,
"NZL","New Zealand","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",630859,,
"NZL","New Zealand","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",236217.08,,
"NZL","New Zealand","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",2.1829031,,
"NZL","New Zealand","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",289000,,
"NZL","New Zealand","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",12.318701,,
"NZL","New Zealand","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",52.944607,,
"NZL","New Zealand","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",39.701721,,
"POL","Poland","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",403392,,
"POL","Poland","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",142922.52,,
"POL","Poland","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.6886418,,
"POL","Poland","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",238885.48,,
"POL","Poland","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",18.263699,,
"POL","Poland","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",11.729097,,
"POL","Poland","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",41.83997,,
